,issueNumber,title,description,FIGDiagnostic,labels,dateMade
382,382,Fig occasionally appears on wrong monitor,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
When using multiple monitors, Fig may randomly appear on the wrong one.
I am using VSCode as my editor and Hyper as terminal on another window when this happens.
Environment
N/A",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Aug 20, 2021, 12:39 PM PDT"
383,383,Fig suggest even when typing in file of VSCode not in terminal,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
If you have hidden terminal and you're working on a file, Fig still operate and show annoying suggestion like in the screenshot.
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Aug 20, 2021, 5:49 PM PDT"
384,384,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
385,385,Fig appears in VSCode editor,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Once in a while when coding in VSC, the Fig dropdown appears for no reason.
Environment
N/A",No Fig Diagnostic Found,"['codebase:macos', 'terminal:VSCode', 'type:bug']","Aug 23, 2021, 12:10 PM PDT"
386,386,Figterm error when spawning multiple iTerm sessions simultaneously,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
I have iTerm configured to open a 2 x 2 window with 4 new sessions on startup. Occasionally, one of the sessions will end with:
""/Users/.../.fig/shell/pre.sh:52: no such file or directory: /Users/.../.fig/bin/zsh (figterm)""
Sometimes the error isn't shown, I just have the ""Session Ended"" in iTerm.
Environment
N/A",No Fig Diagnostic Found,"['codebase:figterm', 'terminal:iTerm', 'type:bug']","Aug 23, 2021, 2:19 PM PDT"
387,387,Fig messes with GraphQL files,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
While trying to type in a graphql file (specifically I'm writing a fragment) Fig will do ""Hit enter to regain context"" and then add fig source text to my graphql file
Details:
macOS Fig Shell
11.5.0 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Aug 23, 2021, 3:32 PM PDT"
388,388,iTerm2 SSH as a Profile does not disable Fig when SSH integration should be disabled,"Description:
Due to Fig not adapting to the SSH host and trying to autocomplete using the client's context I decided to go ahead and disable SSH integartion for now, I unchecked Integartions > SSH Integration and modified my ~/.ssh/config to the following:
# ControlPath ~/.ssh/%C
# ControlMaster auto
# ControlPersist 1
# PermitLocalCommand yes
# LocalCommand fig bg:ssh ~/.ssh/%C &

# Fig SSH Integration: Enabled
# 
# Include ~/.fig/ssh
# 
# End of Fig SSH Integration
This works fine if I start SSH manually in my iTerm session (ssh user@host) but it doesn't work with an iTerm2 profile that automatically launches SSH. I've tried it two ways:
When I use the Command option with ssh command parameter Fig does remain active but does ask me to Hit enter to regain context.
I suspected the problem might be that using the Command version of the profile, since it never actually echoes the ssh command, might not give Fig any context to recognize that the terminal is in an SSH session so I then tried using a Login Shell with Send text at start. This does echo out the command at the beginning of the shell initialization.
Unfortunately it gives me a very similar result, in this case Fig doesn't ask me to regain context but it does still show Fig with autocompletions from the client machine.
Out of curiosity I did also try the Custom shell option with Bash (default & Homebrew) as well as Fish but neither seemed to actually execute Send text at start correctly and I didn't think it would be worth troubleshooting further.
Details:
macOS Fig Shell
11.5.1 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'integration:ssh', 'terminal:iTerm', 'type:bug']","Aug 23, 2021, 3:44 PM PDT"
389,389,Onboarding - Mention .fig.dotfiles.bak folder,"Right now, when Fig is installed fresh, certain (dot)files are copied into a .fig.dotfiles.bak backup folder. According to @mschrage, the purpose of this feature/folder is to prevent rare edge cases where the installation accidentally messes them up.
For most people however, installation tends to go well, but we of course still end up with this folder with no mention of what it is for and whether it's safe to delete (it is). Would it be a good idea to mention this folder at the end of the onboarding, so that users are aware of what it's for and that they can delete it if everything seems in order?
Example of the mentioned folder:",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:feature-request']","Aug 25, 2021, 1:45 PM PDT"
390,390,[Settings UI] Dropdown Chevron Non-interactable,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Expected
To be able to click anywhere in the dropdown, including directly on the chevron icon.
Actual
Unable to trigger the dropdown choices via the chevron, must click in the surrounding areas.
Screenshot
Environment
Version 1.0.47 (B257) [U.S.]
UserShell: /bin/zsh",No Fig Diagnostic Found,"['codebase:mission-control', 'type:bug']","Aug 25, 2021, 5:32 PM PDT"
391,391,Fig appears behind iTerm 2 when iTerm 2 is used in Visor mode,"Description:
The Fig autocomplete panel shows behind the iTerm 2 window (blurred, see video). I use iTerm 2 pinned to the top of the screen and activated via a global hotkey (option+`)
Screen.Recording.2021-08-26.at.14.07.29.mov
Details:
macOS Fig Shell
12.0.0 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Aug 25, 2021, 9:41 PM PDT"
392,392,Position on VSCode is not right,"Hey,
first, thanks for the awesome projet, really impressed & love it so far! ❤️
Description:
Sometimes (when first starting VSCode) the autocomplete is not at the right position. Seems centered.
If I open another terminal tabs its position is perfect for the new tab but still not correct for the first tab.
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic
If you need more details, ask for it 👌",No Fig Diagnostic Found,"['codebase:macos', 'terminal:VSCode', 'type:bug']","Aug 26, 2021, 12:14 AM PDT"
393,393,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
394,394,No Title Found,the main page http://dvc.org,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
395,395,Disable '>' suggestion,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
I would like the option to disable the suggestion that immediately executes what's in the edit buffer:",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'codebase:mission-control', 'type:feature-request']","Aug 26, 2021, 9:17 AM PDT"
396,396,History is not filtered when navigating with up arrow,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
When I type something in the terminal and hit the up arrow, I expect to see history filtered by what I had typed.
This does not happen with Fig installed. Instead, hitting up will show all of my history with no filter applied.
Environment
N/A",No Fig Diagnostic Found,['type:bug'],"Aug 26, 2021, 7:18 PM PDT"
397,397,onlyShowOnTab setting breaks tab in VSCode,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
onlyShowOnTab setting breaks tab in VSCode and Hyperswitch.
If I have that setting enabled, I will not be able to cmd + tab to another window.
I will also not be able to use the tab key in the VSCode editor.
Environment
N/A",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Aug 26, 2021, 7:25 PM PDT"
398,398,Setting to add space after every suggestion,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
Fig will add a space after a suggestion that takes a mandatory argument. Other autosuggest tools will insert a space after every suggestion and I would like a setting to replicate that behavior.",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'codebase:mission-control', 'type:feature-request']","Aug 26, 2021, 7:48 PM PDT"
399,399,No Title Found,No Details Found,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
400,400,No Title Found,"I'm using Laravel Sail which is a cli that makes it easier to run commands inside a docker container, like composer, artisan, npm and yarn.
So I would like to have autocompletion for those tools when running for example sail composer require.....
I could make my own autocompletion spec for Sail, but instead of having to copy paste the spec for say composer, I wonder if there is a way to call the already existing composer spec, but have all the executeShellCommand() run inside a docker container instead? Or be able to prefix them with sail before they are executed?",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
401,401,Fig with ZSH + iTerm breaking terminal,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Hi!
When using fig, terminal keeps bugging. I use a zsh (this is the config), with tmux (this is the conf).
Can you guys spot what might be causing this problem:
Untitled.mp4
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['integration:tmux'],"Aug 27, 2021, 2:30 AM PDT"
402,402,Support autocomplete for the Android Studio terminal,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
Ideally the support for the Android Studio terminal would function pretty much the exact same way as support for VS Code and other terminals. The AS terminal can be moved around/windowed/etc. in the same ways as the VS Code terminal inside the main window.",No Fig Diagnostic Found,['type:integration-request'],"Aug 28, 2021, 12:18 PM PDT"
403,403,Interference with custom prompt,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Installed oh-my-zsh
Environment
Version 1.0.47 (B257) [ABC]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/ns/.fig/bin/fig
Accessibility: true
Number of specs: 188
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/ns/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/ns/.nvm/versions/node/v14.17.4/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (7337) - ttys002
Current working directory: /Users/ns
Current window identifier: 1258/% (com.googlecode.iterm2)
PATH: /Users/ns/.nvm/versions/node/v14.17.4/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/ns/.fig/bin
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,"['codebase:figterm', 'type:bug']","Aug 29, 2021, 12:22 AM PDT"
404,404,"Typing ""too quickly"" results in double characters.","Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
I often get ""double"" characters if I type a little quickly and hit ""Tab"" when navigating directories. It definitely seems dependent on the speed I type because if I slow down, I don't see the problem.
So typing ""/Vol"" and hitting tab fairly quickly results in ""/Vollumes"" (double ""l"").
CleanShot.2021-08-30.at.14.10.33.mp4
I'm using an iTerm2 hotkey window with fish shell and starship prompt.
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /usr/local/bin/fish
fig diagnostic",No Fig Diagnostic Found,"['codebase:figterm', 'codebase:macos', 'shell:fish']","Aug 30, 2021, 5:15 AM PDT"
405,405,Inserting single quote instead of selected text,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
I select update, and autocompletes with a single quotte
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['shell:zsh', 'type:bug']","Aug 30, 2021, 12:20 PM PDT"
406,406,GitHub Codespaces integration,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
I use GitHub Codespaces for all of my development now. Would love for the VSCode terminal to work with Fig in Codespaces.
https://github.com/features/codespaces",No Fig Diagnostic Found,['type:integration-request'],"Aug 30, 2021, 1:57 PM PDT"
407,407,Can't complete onboarding with fish,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Can't get through the onboarding and Hyper does not open at all. When trying to open Hyper, I see:
functions: Function 'fish_mode_prompt' already exists. Cannot create copy 'fig_user_mode_prompt'
~/.config/fish/conf.d/99_fig_post.fish (line 68): 
    function fig_copy_fn; functions -e $argv[2]; functions -c $argv[1] $argv[2]; end
                                                 ^
in function 'fig_copy_fn'
        called on line 101 of file ~/.config/fish/conf.d/99_fig_post.fish
        with parameter list 'fig_user_mode_prompt fish_mode_prompt'

in function 'fig_preexec'
        called on standard input
        with parameter list ''

in event handler: handler for generic event 'fish_preexec'


   functions - print or erase functions

   Synopsis
       functions [ -a | --all ] [ -n | --names ]
       functions [ -D | --details ] [ -v ] FUNCTION
       functions -c OLDNAME NEWNAME
       functions -d DESCRIPTION FUNCTION
       functions [ -e | -q ] FUNCTIONS...

functions: Type 'help functions' for related documentation
Environment
N/A",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:fish']","Aug 30, 2021, 2:36 PM PDT"
408,408,Tab setting doesn't seem to work,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
open the settings and check Show on tab
type git c then press tab
What should happen:
Fig autocomplete window should appear.
What's happened instead:
Nothing happens. Same thing with cd D,... Instead, the default bash text-based autocomplete appears.
Details:
macOS Fig Shell
11.5.0 Version 1.0.47 (B257) /bin/bash
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Aug 30, 2021, 10:17 PM PDT"
409,409,Fig has completely stopped working.,"Description:
Fig has completely stopped working for me, both on iTerm and on VSCode terminal...
Debugger does not show any issues.
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Aug 30, 2021, 11:28 PM PDT"
410,410,Fig doesn't respect existing zshrc setting,"Description:
Without fig, my terminal shows me which branch I am on right now:
When I start fig, that is absent.
Can you please fix this?
Details:
macOS Fig Shell
11.4.0 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:figterm', 'shell:zsh']","Aug 30, 2021, 11:31 PM PDT"
411,411,Fig with tmux and zsh not working,"Description:
While running fig inside iterm with tmux and zsh I got the following errors:
I started to type git commit
also after first running of fig I got:
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Aug 30, 2021, 11:35 PM PDT"
412,412,Detect system theme,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Currently there are only 2 theme options available: dark and light.
However, I (and I believe some users out there) use automatic native switching between dark and light themes.
Currently I must either switch themes manually every evening or stick with one and deal with inconsistent appearance.
It would be nice if fig had auto just like in system preferences.
Environment
Version 1.0.47 (B257) [English - Ilya Birman Typography]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/vvkhomutenko/.fig/bin/fig
Accessibility: true
Number of specs: 189
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/vvkhomutenko/.fig/user/keybindings
iTerm Integration: true
Hyper Integration: false
VSCode Integration: true
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: <generated dynamically>
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (88046) - ttys008
Current working directory: /Users/vvkhomutenko
Current window identifier: 412922/% (com.googlecode.iterm2)
PATH: /usr/local/opt/mysql-client/bin:/usr/local/opt/node@14/bin:/usr/local/Cellar/libpq/13.3/bin:GOPATH/bin:/Users/vvkhomutenko/go/bin:/Users/vvkhomutenko/.poetry/bin:/Users/vvkhomutenko/bin:/Users/vvkhomutenko/Library/Python/3.8/bin:/usr/local/bin:/Applications/kitty.app/Contents/MacOS/:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/go/bin:/Applications/Wireshark.app/Contents/MacOS:/Users/vvkhomutenko/.fig/bin
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,['type:feature-request'],"Aug 31, 2021, 1:11 AM PDT"
413,413,"Fig gives error '~/.fig/shell/zle.zsh:115: no such file or directory: vendor/bin/phpunit' and 'Unknown option ""-z""'","Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
I just started using Fig and I like what I see. Amazing idea of you to build this!
I just installed Fig and started playing around with it. But I noticed that every time I open a new terminal session in my macOS home folder (~), I get the following message:
/Users/ralphjsmit/.fig/shell/zle.zsh:115: no such file or directory: vendor/bin/phpunit
This is weird and quite irritating to have an error message pop up every time I open a terminal window ;-)
And even weirder is this: if I open a folder with composer and vendor/bin/phpunit installed, I get the message:
PHPUnit 9.5.8 by Sebastian Bergmann and contributors.

Unknown option ""-z""
My .zshrc file:
#### FIG ENV VARIABLES ####
# Please make sure this block is at the start of this file.
[ -s ~/.fig/shell/pre.sh ] && source ~/.fig/shell/pre.sh
#### END FIG ENV VARIABLES ####

## Custom aliases and $PATH additions

#### FIG ENV VARIABLES ####
[ -s ~/.fig/fig.sh ] && source ~/.fig/fig.sh
#### END FIG ENV VARIABLES ####
I briefly investigated this and it looks like the following code in .fig/shell/zle.sh is the culprit:
# Ensure compatibility w/ z-asug -- resolves https://github.com/withfig/fig/issues/62
# Add `fig_insert_and_clear_autosuggestion` to list of widgets that clear suggestions, if not already included
if ! test -z ""$ZSH_AUTOSUGGEST_CLEAR_WIDGETS"" && ! (($ZSH_AUTOSUGGEST_CLEAR_WIDGETS[(Ie)fig_insert_and_clear_autosuggestion])); then
  ZSH_AUTOSUGGEST_CLEAR_WIDGETS=(${(@)ZSH_AUTOSUGGEST_CLEAR_WIDGETS} fig_insert_and_clear_autosuggestion)
fi
I'm using an M1 Mac with macOS 11.5.2 Big Sur.
Environment
Version 1.0.47 (B257) [Dutch]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/ralphjsmit/.fig/bin/fig
Accessibility: true
Number of specs: 190
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/ralphjsmit/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/ralphjsmit/.nvm/versions/node/v14.17.5/bin:/opt/homebrew/opt/php@8.0/sbin:/opt/homebrew/opt/php@8.0/bin:/Users/ralphjsmit/.composer/vendor/bin:/usr/local/sbin:/usr/local/bin/php:/Users/ralphjsmit/.composer/vendor/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Users/ralphjsmit/.fig/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (20175) - ttys016
Current working directory: /Users/ralphjsmit
Current window identifier: 2633/EF65D031-458D-4ED9-A2B5-475E2565FD32% (com.googlecode.iterm2)
PATH: /Users/ralphjsmit/.nvm/versions/node/v14.17.5/bin:/opt/homebrew/opt/php@8.0/sbin:/opt/homebrew/opt/php@8.0/bin:/Users/ralphjsmit/.composer/vendor/bin:/usr/local/sbin:/usr/local/bin/php:/Users/ralphjsmit/.composer/vendor/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Users/ralphjsmit/.fig/bin
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,"['shell:zsh', 'type:bug']","Aug 31, 2021, 1:50 AM PDT"
414,414,[npm] Autocomplete for --legacy-peer-deps not available,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable):
Here's the autocomplete that appears when --legacy- is entered:
As you can see, only --legacy-bundling is shown and not --legacy-peer-deps which is a common configuration option. Is there a reason for this?
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Aug 31, 2021, 1:55 AM PDT"
415,415,No Title Found,Is this a bug per se?,No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
416,416,fig docs seems broken?,"Description:
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Aug 31, 2021, 5:59 AM PDT"
417,417,Terminal crashes each time autocomplete attempts to start up,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
The terminal starts up and shows the welcome message that shows me how fig works. I type ""cd"" and then the terminal disappears. Even trying to take a screenshot will immediately close the session. Something really funky is going on here.
If I turn ""Autocomplete"" off, then it stops crashing. (Of course, then Fig doesn't really do much I assume.)
Details:
macOS Fig Shell
11.5.0 Version 1.0.47 (B257) /usr/local/bin/fish
fig diagnostic",No Fig Diagnostic Found,"['shell:fish', 'type:bug']","Aug 31, 2021, 6:06 AM PDT"
418,418,no autocomplete in MacOS native Terminal with oh-my-zsh,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
The autocomplete is not showing in native MacOS terminal on zsh/oh-my-zsh
Even though the debugger in the task bar says ""Everything should be working.""
I tried restarting the terminal, restarting fig etc.
Fig tools doctor output:
Let's make sure Fig is running...
Fig bin exists: pass
Fig in path: pass
Fig running: pass
Fig ENV variables need to be at the very beginning and end of /Users/mlabenski/.profile
If you see the FIG ENV VARs in /Users/mlabenski/.profile, make sure they're at the very beginning (pre) and end (post). Open a new terminal then rerun the the doctor.
If you don't see the FIG ENV VARs in /Users/mlabenski/.profile, run 'fig util:install-script' to add them. Open a new terminal then rerun the doctor.
Fig ENV variables need to be at the very beginning and end of /Users/mlabenski/.zprofile
If you see the FIG ENV VARs in /Users/mlabenski/.zprofile, make sure they're at the very beginning (pre) and end (post). Open a new terminal then rerun the the doctor.
If you don't see the FIG ENV VARs in /Users/mlabenski/.zprofile, run 'fig util:install-script' to add them. Open a new terminal then rerun the doctor.
Fig ENV variables need to be at the very beginning and end of /Users/mlabenski/.bash_profile
If you see the FIG ENV VARs in /Users/mlabenski/.bash_profile, make sure they're at the very beginning (pre) and end (post). Open a new terminal then rerun the the doctor.
If you don't see the FIG ENV VARs in /Users/mlabenski/.bash_profile, run 'fig util:install-script' to add them. Open a new terminal then rerun the doctor.
Fig ENV variables need to be at the very beginning and end of /Users/mlabenski/.bashrc
If you see the FIG ENV VARs in /Users/mlabenski/.bashrc, make sure they're at the very beginning (pre) and end (post). Open a new terminal then rerun the the doctor.
If you don't see the FIG ENV VARs in /Users/mlabenski/.bashrc, run 'fig util:install-script' to add them. Open a new terminal then rerun the doctor.
Fig ENV variables need to be at the very beginning and end of /Users/mlabenski/.zshrc
If you see the FIG ENV VARs in /Users/mlabenski/.zshrc, make sure they're at the very beginning (pre) and end (post). Open a new terminal then rerun the the doctor.
If you don't see the FIG ENV VARs in /Users/mlabenski/.zshrc, run 'fig util:install-script' to add them. Open a new terminal then rerun the doctor.
Let's see what fig diagnostic tells us...
Compatible shell: pass
Bundle path: pass
Autocomplete enabled: pass
CLI installed: pass
CLI tool path: pass
Accessibility enabled: pass
Autocomplete specs installed: pass
grep: /Users/mlabenski/.ssh/config: No such file or directory
SSH config: fail
SSH config is missing Include ~/.fig/ssh
To fix: Re-enable SSH integration from the Fig menu
Tmux integration: pass
iTerm integration: fail
2021-08-31 15:45:03.620 defaults[73666:7202158]
Domain com.googlecode.iterm2 does not exist
The iTerm API server is not enabled.
fig-iterm-integration.scpt is missing.
Hyper integration: fail
fig-hyper-integration plugin is missing!
grep: /Users/mlabenski/.hyper.js: No such file or directory
fig-hyper-integration plugin needs to be added localPlugins!
VSCode integration: pass
Installation script: pass
Secure keyboard input: pass
PATH and PseudoTerminal PATH match: pass
Fig integration version: fail
Details:
macOS Fig Shell
11.4.0 Version 1.0.47 (B257) /bin/zsh
fig diagnostic
Environment
Version 1.0.47 (B257) [German] 
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/mlabenski/.fig/bin/fig
Accessibility: true
Number of specs: 206
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/mlabenski/.fig/user/keybindings
iTerm Integration: false 
Hyper Integration: false
VSCode Integration: true
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /usr/local/opt/curl/bin:/Users/mlabenski/.nvm/versions/node/v15.4.0/bin:/Users/mlabenski/.yarn/bin:~/go/bin:/usr/local/bin/:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/share/dotnet:~/.dotnet/tools:/Library/Frameworks/Mono.framework/Versions/Current/Commands:/Users/mlabenski/.fig/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (72906) - ttys004
Current working directory: /Users/mlabenski
Current window identifier: 68461/% (com.apple.Terminal)
PATH: /usr/local/opt/curl/bin:/Users/mlabenski/.nvm/versions/node/v15.4.0/bin:/Users/mlabenski/.yarn/bin:~/go/bin:/usr/local/bin/:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/share/dotnet:~/.dotnet/tools:/Library/Frameworks/Mono.framework/Versions/Current/Commands:/Users/mlabenski/.fig/bin
FIG_INTEGRATION_VERSION: ???",No Fig Diagnostic Found,"['shell:zsh', 'type:bug']","Aug 31, 2021, 6:46 AM PDT"
419,419,Completing with Fig inserts '(' or ',"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
When I press enter on a suggestion, Fig will enter a '(' or ""'"" rather than the suggestion.
Environment
N/A",No Fig Diagnostic Found,['type:bug'],"Aug 31, 2021, 7:08 PM PDT"
420,420,Show suggestions even if there is environment variable before the command,"fig doesn't trigger itself when I append environment variable before command, for example typing VAR=1 npm run ... doesn't show the autocomplete window",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Sep 1, 2021, 6:26 AM PDT"
421,421,can not show,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Sep 1, 2021, 7:04 AM PDT"
422,422,Autocomplete always results in single quote ( ' ),"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
See video here: https://www.loom.com/share/e7bcbf5d6b914618a0e2a5b5bea29669
When I select an item from the autocomplete list, and press enter, it always results in a single quote, no matter what the item actually is.
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Sep 1, 2021, 8:27 AM PDT"
423,423,Fig crashes on first try,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
macOS Fig Shell
11.4.0 Version 1.0.47 (B257) /usr/local/bin/fish
fig diagnostic",,['None yet'],"Sep 1, 2021, 10:34 AM PDT"
424,424,Popup in wrong terminal when both VSCode and Hyper open,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Sometimes when both VSCode and Hyper are open side by side, the Fig popup will appear in the wrong app.
For example, I type cd in VSCode terminal and the popup opens in Hyper.
Environment
N/A",No Fig Diagnostic Found,"['codebase:macos', 'terminal:Hyper', 'terminal:VSCode', 'type:bug']","Sep 1, 2021, 11:24 AM PDT"
